ops	steps	M	K	N	zone
955790	32197517096	194	13	63436	3,1,3,1,1,2,2
955804	32198532140	194	13	63437	3,1,3,1,1,3,1
955821	32199547224	194	13	63438	3,1,3,1,1,4
955835	32200562300	194	13	63439	3,1,3,1,1,2,1,1
955850	32201577396	194	13	63440	3,1,3,1,1,1,1,2
955864	32202592504	194	13	63441	3,1,3,1,1,1,1,1,1
955881	32203607640	194	13	63442	3,1,3,1,1,1,1,2
955895	32204622780	194	13	63443	3,1,3,1,1,1,1,1,1
955910	32205637940	194	13	63444	3,1,3,1,1,1,1,2
955924	32206653112	194	13	63445	3,1,3,1,1,1,2,1
955940	32207668316	194	13	63446	3,1,3,1,1,1,3
955954	32208683520	194	13	63447	3,1,3,1,1,1,1,1,1
955969	32209698744	194	13	63448	3,1,3,1,1,1,1,2
955983	32210713980	194	13	63449	3,1,3,1,1,1,1,1,1
956000	32211729244	194	13	63450	3,1,3,1,2,1,2
956014	32212744512	194	13	63451	3,1,3,1,2,1,1,1
956029	32213759800	194	13	63452	3,1,3,1,3,2
956043	32214775100	194	13	63453	3,1,3,1,4,1
956061	32215790444	194	13	63454	3,1,4,5
956075	32216805776	194	13	63455	3,1,4,3,1,1
956090	32217821128	194	13	63456	3,1,4,2,1,2
956104	32218836492	194	13	63457	3,1,4,2,1,1,1
956121	32219851884	194	13	63458	3,1,4,1,1,1,2
956135	32220867280	194	13	63459	3,1,4,1,1,1,1,1
956150	32221882696	194	13	63460	3,1,4,1,1,1,2
956164	32222898124	194	13	63461	3,1,4,1,1,2,1
956180	32223913584	194	13	63462	3,1,4,1,1,3
956194	32224929044	194	13	63463	3,1,4,1,1,1,1,1
956209	32225944524	194	13	63464	3,1,4,1,1,1,2
956223	32226960016	194	13	63465	3,1,4,1,1,1,1,1
956240	32227975536	194	13	63466	3,1,4,1,1,1,2
956254	32228991060	194	13	63467	3,1,4,1,1,1,1,1
956269	32230006604	194	13	63468	3,1,4,1,2,2
956283	32231022160	194	13	63469	3,1,4,1,3,1
956300	32232037756	194	13	63470	3,1,5,4
956314	32233053344	194	13	63471	3,1,5,2,1,1
956329	32234068952	194	13	63472	3,1,5,1,1,2
956343	32235084572	194	13	63473	3,1,5,1,1,1,1
956360	32236100220	194	13	63474	3,1,5,1,1,2
956374	32237115872	194	13	63475	3,1,5,1,1,1,1
956389	32238131544	194	13	63476	3,1,5,1,1,2
956403	32239147228	194	13	63477	3,1,5,1,2,1
956419	32240162944	194	13	63478	3,1,5,1,3
956433	32241178660	194	13	63479	3,1,5,1,1,1,1
956448	32242194396	194	13	63480	3,1,5,1,1,2
956462	32243210144	194	13	63481	3,1,5,1,1,1,1
956479	32244225920	194	13	63482	3,1,6,1,2
956493	32245241700	194	13	63483	3,1,6,1,1,1
956508	32246257500	194	13	63484	3,1,7,2
956522	32247273312	194	13	63485	3,1,8,1
956544	32248289204	194	13	63486	3,1,9
956558	32249305048	194	13	63487	3,1,7,1,1
956573	32250320912	194	13	63488	3,1,6,1,2
956587	32251336788	194	13	63489	3,1,6,1,1,1
956604	32252352692	194	13	63490	3,1,5,1,1,2
956618	32253368600	194	13	63491	3,1,5,1,1,1,1
956633	32254384528	194	13	63492	3,1,5,1,1,2
956647	32255400468	194	13	63493	3,1,5,1,2,1
956663	32256416440	194	13	63494	3,1,5,1,3
956677	32257432412	194	13	63495	3,1,5,1,1,1,1
956692	32258448404	194	13	63496	3,1,5,1,1,2
956706	32259464408	194	13	63497	3,1,5,1,1,1,1
956723	32260480440	194	13	63498	3,1,5,1,1,2
956737	32261496476	194	13	63499	3,1,5,1,1,1,1
956752	32262512532	194	13	63500	3,1,5,2,2
956766	32263528600	194	13	63501	3,1,5,3,1
956783	32264544708	194	13	63502	3,1,4,1,4
956797	32265560808	194	13	63503	3,1,4,1,2,1,1
956812	32266576928	194	13	63504	3,1,4,1,1,1,2
956826	32267593060	194	13	63505	3,1,4,1,1,1,1,1
956843	32268609220	194	13	63506	3,1,4,1,1,1,2
956857	32269625384	194	13	63507	3,1,4,1,1,1,1,1
956872	32270641568	194	13	63508	3,1,4,1,1,1,2
956886	32271657764	194	13	63509	3,1,4,1,1,2,1
956902	32272673992	194	13	63510	3,1,4,1,1,3
956916	32273690220	194	13	63511	3,1,4,1,1,1,1,1
956931	32274706468	194	13	63512	3,1,4,1,1,1,2
956945	32275722728	194	13	63513	3,1,4,1,1,1,1,1
956962	32276739016	194	13	63514	3,1,4,2,1,2
